actionType,name,packageName,start_time,end_time
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:05:46.575,2019-05-16 02:05:46.900
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:05:46.950,2019-05-16 02:05:48.417
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:05:48.443,2019-05-16 02:06:01.969
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:06:01.982,2019-05-16 02:06:02.079
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:06:02.157,2019-05-16 02:06:04.187
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:06:04.239,2019-05-16 02:06:12.177
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:06:12.205,2019-05-16 02:07:12.243
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:07:12.255,2019-05-16 02:07:24.630
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:07:39.981,2019-05-16 02:07:40.787
WALKING,편한가계부,com.realbyteapps.moneymanagerfree,2019-05-16 02:07:40.802,2019-05-16 02:07:41.154
WALKING,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 02:07:41.175,2019-05-16 02:07:42.525
WALKING,YouTube,com.google.android.youtube,2019-05-16 02:07:42.568,2019-05-16 02:07:43.173
WALKING,YouTube,com.google.android.youtube,2019-05-16 02:07:43.249,2019-05-16 02:08:42.092
WALKING,YouTube,com.google.android.youtube,2019-05-16 02:09:11.455,2019-05-16 02:09:23.061
WALKING,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 02:09:23.187,2019-05-16 02:09:26.463
WALKING,Facebook,com.facebook.katana,2019-05-16 02:09:26.488,2019-05-16 02:10:16.064
STILL,Facebook,com.facebook.katana,2019-05-16 02:10:26.637,2019-05-16 02:10:40.540
WALKING,Facebook,com.facebook.katana,2019-05-16 02:10:40.540,2019-05-16 02:11:35.560
STILL,Facebook,com.facebook.katana,2019-05-16 02:11:35.560,2019-05-16 02:12:21.682
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 02:12:21.700,2019-05-16 02:12:22.537
STILL,YouTube,com.google.android.youtube,2019-05-16 02:12:22.742,2019-05-16 02:13:33.136
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 02:13:33.308,2019-05-16 02:13:34.316
STILL,카카오톡,com.kakao.talk,2019-05-16 02:13:34.348,2019-05-16 02:13:34.686
STILL,카카오톡,com.kakao.talk,2019-05-16 02:13:34.703,2019-05-16 02:13:34.738
STILL,카카오톡,com.kakao.talk,2019-05-16 02:13:34.779,2019-05-16 02:13:34.991
STILL,카카오톡,com.kakao.talk,2019-05-16 02:13:35.290,2019-05-16 02:13:36.686
STILL,카카오톡,com.kakao.talk,2019-05-16 02:13:36.710,2019-05-16 02:13:38.146
STILL,카카오톡,com.kakao.talk,2019-05-16 02:13:38.166,2019-05-16 02:13:42.987
STILL,카카오톡,com.kakao.talk,2019-05-16 02:13:43.013,2019-05-16 02:13:43.696
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 02:13:43.716,2019-05-16 02:13:45.098
STILL,시스템 UI,com.android.systemui,2019-05-16 02:13:45.109,2019-05-16 02:13:46.277
STILL,YouTube,com.google.android.youtube,2019-05-16 02:13:46.415,2019-05-16 02:13:55.589
STILL,YouTube,com.google.android.youtube,2019-05-16 02:15:06.107,2019-05-16 02:16:36.977
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 02:16:37.094,2019-05-16 02:16:38.069
STILL,카카오톡,com.kakao.talk,2019-05-16 02:16:38.100,2019-05-16 02:16:38.453
STILL,카카오톡,com.kakao.talk,2019-05-16 02:16:38.467,2019-05-16 02:16:38.483
STILL,카카오톡,com.kakao.talk,2019-05-16 02:16:38.513,2019-05-16 02:16:38.656
STILL,카카오톡,com.kakao.talk,2019-05-16 02:16:38.903,2019-05-16 02:16:40.115
