timestamp,TotalSteps,StepsToday
1557563231229,76124,0
1557563232247,76124,0
1557563233232,76124,0
1557563234241,76124,0
1557563235261,76124,0
1557563236272,76124,0
1557563237278,76124,0
1557563238281,76124,0
1557563239317,76124,0
1557563240292,76124,0
1557563241310,76134,10
1557563242318,76136,12
1557563243322,76138,14
1557563244314,76138,14
1557563245339,76140,16
1557563246367,76142,18
1557563247360,76144,20
1557563248361,76146,22
1557563249367,76148,24
1557563250373,76150,26
1557563251374,76152,28
1557563252393,76154,30
1557563253398,76154,30
1557563254419,76156,32
1557563255409,76158,34
1557563256420,76158,34
1557563257450,76158,34
1557563258440,76158,34
1557563259460,76158,34
1557563260460,76158,34
1557563261446,76158,34
1557563262467,76158,34
1557563263482,76158,34
1557563264468,76158,34
1557563265479,76158,34
1557563266503,76158,34
1557563267519,76158,34
1557563268508,76158,34
1557563269524,76160,36
1557563270510,76160,36
1557563271541,76160,36
1557563272559,76160,36
1557563273578,76160,36
1557563274587,76160,36
1557563275560,76160,36
1557563276575,76160,36
1557563277602,76160,36
1557563278592,76160,36
1557563279598,76160,36
1557563280656,76160,36
1557563281618,76160,36
1557563282662,76160,36
1557563283634,76160,36
1557563284663,76160,36
1557563285641,76172,48
1557563286682,76172,48
1557563287674,76174,50
1557563288684,76176,52
1557563289666,76178,54
1557563290682,76178,54
1557563291727,76180,56
1557563292689,76182,58
1557563293718,76186,62
1557563294713,76188,64
1557563295747,76190,66
1557563296732,76190,66
1557563297765,76192,68
1557563298775,76194,70
1557563299772,76196,72
1557563300758,76198,74
1557563301776,76200,76
1557563302808,76200,76
1557563303872,76202,78
1557563304789,76204,80
1557563305857,76206,82
1557563306815,76208,84
1557563307819,76210,86
1557563308877,76212,88
1557563309847,76214,90
1557563310904,76216,92
1557563311859,76218,94
1557563312889,76220,96
1557563313858,76222,98
1557563314871,76224,100
1557563315931,76226,102
1557563316947,76228,104
1557563317907,76230,106
1557563318920,76232,108
1557563319942,76234,110
1557563320950,76236,112
1557563321931,76236,112
1557563322936,76238,114
1557563323947,76240,116
1557563325002,76242,118
1557563325977,76244,120
1557563326992,76248,124
1557563327982,76248,124
1557563328995,76252,128
1557563330060,76254,130
1557563331020,76256,132
1557563332035,76258,134
1557563333021,76260,136
1557563334033,76260,136
1557563335051,76262,138
1557563336042,76264,140
1557563337058,76266,142
1557563338073,76268,144
1557563339081,76270,146
1557563340082,76272,148
1557563341099,76274,150
1557563342143,76276,152
1557563343116,76278,154
1557563344122,76280,156
1557563345131,76282,158
1557563346160,76284,160
1557563347133,76286,162
1557563348154,76288,164
1557563349174,76290,166
1557563350157,76292,168
1557563351165,76294,170
1557563352177,76296,172
1557563353189,76296,172
1557563354179,76298,174
1557563355212,76300,176
1557563356221,76302,178
1557563357243,76304,180
1557563358216,76306,182
1557563359242,76308,184
1557563360241,76308,184
1557563361240,76310,186
1557563362252,76312,188
1557563363268,76312,188
1557563364279,76312,188
1557563365278,76314,190
1557563366290,76316,192
1557563367317,76318,194
1557563368331,76320,196
1557563369306,76322,198
1557563370340,76322,198
1557563371321,76324,200
1557563372347,76326,202
1557563373402,76328,204
1557563374351,76330,206
1557563375386,76332,208
1557563376376,76334,210
1557563377389,76336,212
1557563378419,76338,214
1557563379402,76338,214
