timestamp,CaloriesToday,Calories
1557507306303,101,15420
1557507307312,101,15420
1557507308385,101,15420
1557507309368,101,15420
1557507310415,101,15420
1557507311427,101,15420
1557507312491,101,15420
1557507313464,101,15420
1557507314482,101,15420
1557507315516,101,15420
1557507316572,101,15420
1557507317566,101,15420
1557507318597,101,15420
1557507319605,101,15420
1557507320643,101,15420
1557507321675,101,15420
1557507322689,101,15420
1557507323734,101,15420
1557507324781,101,15420
1557507325780,101,15420
1557507326804,101,15420
1557507327834,101,15420
1557507328861,101,15420
1557507329854,101,15420
1557507330885,101,15420
1557507331913,101,15420
1557507332942,101,15420
1557507333973,101,15420
1557507334986,101,15420
1557507336009,101,15420
1557507337038,101,15420
1557507338061,101,15420
1557507339068,101,15420
1557507340113,101,15420
1557507341128,101,15420
1557507342162,101,15420
1557507343177,101,15420
1557507344199,101,15420
1557507345246,101,15420
1557507346260,101,15420
1557507347274,101,15420
1557507348287,101,15420
1557507349390,101,15420
1557507350340,101,15420
1557507351368,101,15420
1557507352382,101,15420
1557507353447,101,15420
1557507354450,101,15420
1557507355471,101,15420
1557507356470,101,15420
1557507357529,101,15420
1557507358551,101,15420
1557507359561,101,15420
1557507360587,101,15420
1557507361673,101,15421
1557507362631,101,15421
1557507363645,102,15421
1557507364675,102,15421
1557507365700,102,15421
1557507366736,102,15421
1557507367758,102,15421
1557507368768,102,15421
1557507369858,102,15421
1557507370827,102,15421
1557507371823,102,15421
1557507372876,102,15421
1557507373952,102,15421
1557507374914,102,15421
1557507375942,102,15421
1557507376976,102,15421
1557507377967,102,15421
1557507379032,102,15421
1557507380030,102,15421
1557507381066,102,15421
1557507382142,102,15421
1557507383096,102,15421
1557507384147,102,15421
1557507385177,102,15421
1557507386226,102,15421
1557507387209,102,15421
1557507388224,102,15421
1557507389247,102,15421
1557507390393,102,15421
1557507391297,102,15421
1557507392335,102,15421
1557507393339,102,15421
1557507394388,102,15421
1557507395409,102,15421
1557507396414,102,15421
1557507397462,102,15421
1557507398519,102,15421
1557507399483,102,15421
1557507400531,102,15421
1557507401539,102,15421
1557507402612,102,15421
1557507403596,102,15421
1557507404615,102,15421
1557507405644,102,15421
1557507406701,102,15421
1557507407683,102,15421
1557507408711,102,15421
1557507409739,102,15421
1557507410793,102,15421
1557507411766,102,15421
1557507412814,102,15421
1557507413832,102,15421
1557507414896,102,15421
1557507415877,102,15421
1557507416920,102,15421
1557507417926,102,15421
1557507418992,102,15421
1557507419982,102,15421
1557507420998,102,15421
1557507422017,102,15421
1557507423098,102,15421
1557507424073,102,15421
1557507425096,102,15421
1557507426110,102,15421
1557507427218,102,15421
1557507428158,102,15421
1557507429199,102,15422
1557507430202,102,15422
1557507431279,103,15422
1557507432260,103,15422
1557507433265,103,15422
1557507434303,103,15422
1557507435370,103,15422
1557507436372,103,15422
1557507437388,103,15422
1557507438402,103,15422
1557507439468,103,15422
1557507440443,103,15422
1557507441486,103,15422
1557507442513,103,15422
1557507443561,103,15422
1557507444537,103,15422
1557507445567,103,15422
1557507446598,103,15422
1557507447777,103,15422
1557507448660,103,15422
1557507449681,103,15422
1557507450688,103,15422
1557507451748,103,15422
1557507452740,103,15422
1557507453789,103,15422
1557507454783,103,15422
1557507455887,103,15422
1557507456836,103,15422
1557507457861,103,15422
1557507458876,103,15422
1557507459978,103,15422
1557507460937,103,15422
1557507461973,103,15422
1557507462987,103,15422
1557507464014,103,15422
1557507465025,103,15422
1557507466062,103,15422
1557507467067,103,15422
1557507468103,103,15422
1557507469138,103,15422
1557507470136,103,15422
1557507471182,103,15422
1557507472262,103,15422
1557507473216,103,15422
1557507474245,103,15422
1557507475280,103,15422
1557507476369,103,15422
1557507477328,103,15422
1557507478344,103,15422
1557507479350,103,15422
1557507480392,103,15422
1557507481411,103,15422
1557507482443,103,15422
1557507483452,103,15422
1557507484491,103,15422
1557507485512,103,15422
1557507486544,103,15422
1557507487573,103,15422
1557507488645,103,15422
1557507489594,103,15422
1557507490643,103,15422
1557507491674,103,15422
1557507492741,103,15422
1557507493701,103,15422
1557507494724,103,15422
1557507495750,103,15422
1557507496785,103,15422
1557507497805,103,15423
1557507498825,103,15423
1557507499837,104,15423
1557507500931,104,15423
1557507501901,104,15423
1557507502941,104,15423
1557507503956,104,15423
1557507505018,104,15423
1557507505982,104,15423
1557507507028,104,15423
1557507508034,104,15423
1557507509111,104,15423
1557507510081,104,15423
1557507511117,104,15423
1557507512141,104,15423
1557507513222,104,15423
1557507514187,104,15423
1557507515213,104,15423
1557507516244,104,15423
1557507517310,104,15423
1557507518298,104,15423
1557507519316,104,15423
1557507520332,104,15423
1557507521414,104,15423
1557507522367,104,15423
1557507523401,104,15423
1557507524433,104,15423
1557507525482,104,15423
1557507526466,104,15423
1557507527507,104,15423
1557507528513,104,15423
1557507529540,104,15423
1557507530644,104,15423
1557507531599,104,15423
1557507532631,104,15423
1557507533752,104,15423
1557507534653,104,15423
1557507535691,104,15423
1557507536722,104,15423
1557507537849,104,15423
1557507538755,104,15423
1557507539792,104,15423
1557507540801,104,15423
1557507541863,104,15423
1557507542850,104,15423
1557507543881,104,15423
1557507544904,104,15423
1557507545961,104,15423
1557507546951,104,15423
1557507547982,104,15423
1557507549009,104,15423
1557507550024,104,15423
1557507551042,104,15423
1557507552080,104,15423
1557507553080,104,15423
1557507554210,104,15423
1557507555141,104,15423
1557507556168,104,15423
1557507557196,104,15423
1557507558394,104,15423
1557507559252,104,15423
1557507560266,104,15423
1557507561304,104,15423
1557507562344,104,15423
1557507563320,104,15423
1557507564368,104,15423
1557507565389,104,15424
1557507566445,104,15424
1557507567433,105,15424
1557507568434,105,15424
1557507569481,105,15424
1557507570527,105,15424
1557507571543,105,15424
1557507572545,105,15424
1557507573578,105,15424
1557507574626,105,15424
1557507575629,105,15424
1557507576645,105,15424
1557507577669,105,15424
1557507578708,105,15424
1557507579706,105,15424
1557507580746,105,15424
1557507581778,105,15424
1557507582810,105,15424
1557507583810,105,15424
1557507584844,105,15424
1557507585868,105,15424
1557507586902,105,15424
1557507587907,105,15424
1557507588945,105,15424
1557507589966,105,15424
1557507591006,105,15424
1557507592009,105,15424
1557507593045,105,15424
1557507594050,105,15424
1557507595141,105,15424
1557507596090,105,15424
1557507597144,105,15424
1557507598160,105,15424
1557507599256,105,15424
1557507600206,105,15424
1557507601225,105,15424
1557507602279,105,15424
1557507603269,105,15424
1557507604310,105,15424
1557507605321,105,15424
1557507606352,105,15424
1557507607374,105,15424
1557507608416,105,15424
1557507609486,105,15424
1557507610436,105,15424
1557507611454,105,15424
1557507612494,105,15424
1557507613560,105,15424
1557507614556,105,15424
1557507615557,105,15424
1557507616598,105,15424
1557507617690,105,15424
1557507618645,105,15424
1557507619672,105,15424
1557507620692,105,15424
1557507621719,105,15424
1557507622738,105,15424
1557507623761,105,15424
1557507624789,105,15424
1557507625877,105,15424
1557507626829,105,15424
1557507627860,105,15424
1557507628881,105,15424
1557507629907,105,15424
1557507630921,105,15424
1557507631955,105,15424
1557507632970,105,15424
1557507634031,105,15425
1557507635034,105,15425
1557507636049,106,15425
1557507637070,106,15425
1557507638157,106,15425
1557507639120,106,15425
1557507640158,106,15425
1557507641182,106,15425
1557507642238,106,15425
1557507643225,106,15425
1557507644259,106,15425
1557507645268,106,15425
1557507646332,106,15425
1557507647320,106,15425
1557507648318,106,15425
1557507649352,106,15425
1557507650444,106,15425
1557507651400,106,15425
1557507652438,106,15425
1557507653452,106,15425
1557507654516,106,15425
1557507655501,106,15425
1557507656542,106,15425
1557507657572,106,15425
1557507658626,106,15425
1557507659620,106,15425
1557507660627,106,15425
1557507661669,106,15425
1557507662717,106,15425
1557507663708,106,15425
1557507664731,106,15425
1557507665758,106,15425
